a,b,c,d,e,f
Tom11,na,3,Karen13,Def,7
Jonathan5,Def,9,John4,Off,4
Alex2,Off,3,Ryan18,na,5
Vivien3,Off,8,Michael7,na,8
Joeseph9,Def,7,Jose15,Def,8
Marcus17,Def,4,Jeffrey1,Off,7
Frank8,Off,9,Khoman 6,Def,6
Max14,Off,5,,,
Score,,3,,,0
,,,,,
Game ID: ,1498,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Karen13,Def,7
Jonathan5,Def,9,John4,Off,4
Alex2,Off,3,Ryan18,na,5
Vivien3,Off,8,Michael7,na,8
Joeseph9,Def,7,Jose15,Def,8
Marcus17,Def,4,Jeffrey1,Off,7
Frank8,Off,9,Khoman 6,Def,6
Max14,Off,5,,,
Score,,1,,,0
,,,,,
Game ID: ,1499,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Khoman 6,Def,6
Michael7,na,8,Martin16,Off,6
Max14,Off,5,Karen13,Def,7
Joeseph9,Def,7,Alex2,Off,3
Danny19,na,9,John4,Off,4
Ryan18,na,5,Frank8,Off,9
Jonathan5,Def,9,Marcus17,Def,4
Score,,2,,,0
,,,,,
Game ID: ,1500,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Khoman 6,Def,6
Michael7,na,8,Martin16,Off,6
Max14,Off,5,Karen13,Def,7
Joeseph9,Def,7,Alex2,Off,3
Danny19,na,9,John4,Off,4
Ryan18,na,5,Frank8,Off,9
Jonathan5,Def,9,Marcus17,Def,4
Score,,3,,,0
,,,,,
Game ID: ,1501,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jonathan5,Def,9
Vivien3,Off,8,Khoman 6,Def,6
Sherman12,Def,5,Alex2,Off,3
Martin16,Off,6,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,1502,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Jonathan5,Def,9
Vivien3,Off,8,Khoman 6,Def,6
Sherman12,Def,5,Alex2,Off,3
Martin16,Off,6,John4,Off,4
Score,,3,,,0
,,,,,
Game ID: ,1503,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Marcus17,Def,4
Joeseph9,Def,7,Michael7,na,8
Jeffrey1,Off,7,Karen13,Def,7
Khoman 6,Def,6,Danny19,na,9
Tom11,na,3,Sherman12,Def,5
John4,Off,4,Vivien3,Off,8
Chris20,Def,3,,,
Score,,0,,,4
,,,,,
Game ID: ,1504,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Marcus17,Def,4
Joeseph9,Def,7,Michael7,na,8
Jeffrey1,Off,7,Karen13,Def,7
Khoman 6,Def,6,Danny19,na,9
Tom11,na,3,Sherman12,Def,5
John4,Off,4,Vivien3,Off,8
Chris20,Def,3,,,
Score,,0,,,2
,,,,,
Game ID: ,1505,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Max14,Off,5
Vivien3,Off,8,Jeffrey1,Off,7
Khoman 6,Def,6,Tom11,na,3
Sherman12,Def,5,Jose15,Def,8
Score,,0,,,0
,,,,,
Game ID: ,1506,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Max14,Off,5
Vivien3,Off,8,Jeffrey1,Off,7
Khoman 6,Def,6,Tom11,na,3
Sherman12,Def,5,Jose15,Def,8
Score,,0,,,0
,,,,,
Game ID: ,1507,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Martin16,Off,6
Frank8,Off,9,Khoman 6,Def,6
Joeseph9,Def,7,Max14,Off,5
Karen13,Def,7,Tom11,na,3
Score,,4,,,0
,,,,,
Game ID: ,1508,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Martin16,Off,6
Frank8,Off,9,Khoman 6,Def,6
Joeseph9,Def,7,Max14,Off,5
Karen13,Def,7,Tom11,na,3
Score,,6,,,0
,,,,,
Game ID: ,1509,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Ryan18,na,5
Danny19,na,9,Tom11,na,3
Joeseph9,Def,7,Max14,Off,5
Marcus17,Def,4,Karen13,Def,7
Score,,2,,,0
,,,,,
Game ID: ,1510,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Ryan18,na,5
Danny19,na,9,Tom11,na,3
Joeseph9,Def,7,Max14,Off,5
Marcus17,Def,4,Karen13,Def,7
Score,,2,,,0
,,,,,
Game ID: ,1511,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Chris20,Def,3
Marcus17,Def,4,Tom11,na,3
Joeseph9,Def,7,Ryan18,na,5
Jessica10,Off,7,John4,Off,4
Sherman12,Def,5,Khoman 6,Def,6
Karen13,Def,7,Jonathan5,Def,9
Alex2,Off,3,Frank8,Off,9
Martin16,Off,6,Danny19,na,9
Score,,1,,,0
,,,,,
Game ID: ,1512,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Chris20,Def,3
Marcus17,Def,4,Tom11,na,3
Joeseph9,Def,7,Ryan18,na,5
Jessica10,Off,7,John4,Off,4
Sherman12,Def,5,Khoman 6,Def,6
Karen13,Def,7,Jonathan5,Def,9
Alex2,Off,3,Frank8,Off,9
Martin16,Off,6,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,1513,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Chris20,Def,3
Danny19,na,9,Ryan18,na,5
Alex2,Off,3,Max14,Off,5
Jose15,Def,8,Sherman12,Def,5
Score,,4,,,0
,,,,,
Game ID: ,1514,,,,
player id,position,Rating,player id,position,Rating
Vivien3,Off,8,Chris20,Def,3
Danny19,na,9,Ryan18,na,5
Alex2,Off,3,Max14,Off,5
Jose15,Def,8,Sherman12,Def,5
Score,,5,,,0
,,,,,
Game ID: ,1515,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Jonathan5,Def,9
Danny19,na,9,Tom11,na,3
Martin16,Off,6,Khoman 6,Def,6
Joeseph9,Def,7,Jeffrey1,Off,7
Ryan18,na,5,Chris20,Def,3
Karen13,Def,7,Frank8,Off,9
Score,,0,,,0
,,,,,
Game ID: ,1516,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Jonathan5,Def,9
Danny19,na,9,Tom11,na,3
Martin16,Off,6,Khoman 6,Def,6
Joeseph9,Def,7,Jeffrey1,Off,7
Ryan18,na,5,Chris20,Def,3
Karen13,Def,7,Frank8,Off,9
Score,,1,,,0
,,,,,
Game ID: ,1517,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Joeseph9,Def,7
Chris20,Def,3,Ryan18,na,5
Alex2,Off,3,Karen13,Def,7
Martin16,Off,6,Vivien3,Off,8
Marcus17,Def,4,John4,Off,4
Jeffrey1,Off,7,Frank8,Off,9
Danny19,na,9,Michael7,na,8
Sherman12,Def,5,,,
Score,,0,,,1
,,,,,
Game ID: ,1518,,,,
player id,position,Rating,player id,position,Rating
Jonathan5,Def,9,Joeseph9,Def,7
Chris20,Def,3,Ryan18,na,5
Alex2,Off,3,Karen13,Def,7
Martin16,Off,6,Vivien3,Off,8
Marcus17,Def,4,John4,Off,4
Jeffrey1,Off,7,Frank8,Off,9
Danny19,na,9,Michael7,na,8
Sherman12,Def,5,,,
Score,,0,,,0
,,,,,
Game ID: ,1519,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Khoman 6,Def,6
Joeseph9,Def,7,Ryan18,na,5
Jeffrey1,Off,7,Danny19,na,9
Chris20,Def,3,Vivien3,Off,8
Martin16,Off,6,Michael7,na,8
Jessica10,Off,7,Frank8,Off,9
Jose15,Def,8,Tom11,na,3
Alex2,Off,3,Sherman12,Def,5
Score,,0,,,1
,,,,,
Game ID: ,1520,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Khoman 6,Def,6
Joeseph9,Def,7,Ryan18,na,5
Jeffrey1,Off,7,Danny19,na,9
Chris20,Def,3,Vivien3,Off,8
Martin16,Off,6,Michael7,na,8
Jessica10,Off,7,Frank8,Off,9
Jose15,Def,8,Tom11,na,3
Alex2,Off,3,Sherman12,Def,5
Score,,0,,,1
,,,,,
Game ID: ,1521,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Khoman 6,Def,6
John4,Off,4,Vivien3,Off,8
Danny19,na,9,Jessica10,Off,7
Tom11,na,3,Jonathan5,Def,9
Karen13,Def,7,Marcus17,Def,4
Joeseph9,Def,7,,,
Score,,1,,,0
,,,,,
Game ID: ,1522,,,,
player id,position,Rating,player id,position,Rating
Jeffrey1,Off,7,Khoman 6,Def,6
John4,Off,4,Vivien3,Off,8
Danny19,na,9,Jessica10,Off,7
Tom11,na,3,Jonathan5,Def,9
Karen13,Def,7,Marcus17,Def,4
Joeseph9,Def,7,,,
Score,,1,,,0
,,,,,
Game ID: ,1523,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Vivien3,Off,8
Joeseph9,Def,7,Jeffrey1,Off,7
John4,Off,4,Danny19,na,9
Alex2,Off,3,Karen13,Def,7
Khoman 6,Def,6,Ryan18,na,5
Score,,0,,,3
,,,,,
Game ID: ,1524,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Vivien3,Off,8
Joeseph9,Def,7,Jeffrey1,Off,7
John4,Off,4,Danny19,na,9
Alex2,Off,3,Karen13,Def,7
Khoman 6,Def,6,Ryan18,na,5
Score,,0,,,3
,,,,,
Game ID: ,1525,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jose15,Def,8
Frank8,Off,9,Vivien3,Off,8
Khoman 6,Def,6,Jonathan5,Def,9
Michael7,na,8,Jessica10,Off,7
Score,,0,,,0
,,,,,
Game ID: ,1526,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Jose15,Def,8
Frank8,Off,9,Vivien3,Off,8
Khoman 6,Def,6,Jonathan5,Def,9
Michael7,na,8,Jessica10,Off,7
Score,,0,,,2
,,,,,
Game ID: ,1527,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jeffrey1,Off,7
Jessica10,Off,7,Khoman 6,Def,6
Alex2,Off,3,Max14,Off,5
Michael7,na,8,Vivien3,Off,8
Jonathan5,Def,9,Marcus17,Def,4
Danny19,na,9,Karen13,Def,7
Ryan18,na,5,Joeseph9,Def,7
Score,,1,,,0
,,,,,
Game ID: ,1528,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Jeffrey1,Off,7
Jessica10,Off,7,Khoman 6,Def,6
Alex2,Off,3,Max14,Off,5
Michael7,na,8,Vivien3,Off,8
Jonathan5,Def,9,Marcus17,Def,4
Danny19,na,9,Karen13,Def,7
Ryan18,na,5,Joeseph9,Def,7
Score,,0,,,0
,,,,,
Game ID: ,1529,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Alex2,Off,3
Chris20,Def,3,Ryan18,na,5
Danny19,na,9,Michael7,na,8
Jessica10,Off,7,Jose15,Def,8
Khoman 6,Def,6,Karen13,Def,7
Score,,0,,,3
,,,,,
Game ID: ,1530,,,,
player id,position,Rating,player id,position,Rating
Tom11,na,3,Alex2,Off,3
Chris20,Def,3,Ryan18,na,5
Danny19,na,9,Michael7,na,8
Jessica10,Off,7,Jose15,Def,8
Khoman 6,Def,6,Karen13,Def,7
Score,,0,,,1
,,,,,
Game ID: ,1531,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jonathan5,Def,9
Max14,Off,5,Marcus17,Def,4
Ryan18,na,5,John4,Off,4
Danny19,na,9,Michael7,na,8
Khoman 6,Def,6,Alex2,Off,3
Tom11,na,3,Vivien3,Off,8
Jeffrey1,Off,7,Chris20,Def,3
Score,,0,,,0
,,,,,
Game ID: ,1532,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Jonathan5,Def,9
Max14,Off,5,Marcus17,Def,4
Ryan18,na,5,John4,Off,4
Danny19,na,9,Michael7,na,8
Khoman 6,Def,6,Alex2,Off,3
Tom11,na,3,Vivien3,Off,8
Jeffrey1,Off,7,Chris20,Def,3
Score,,1,,,0
,,,,,
Game ID: ,1533,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Frank8,Off,9
Karen13,Def,7,John4,Off,4
Marcus17,Def,4,Jose15,Def,8
Jessica10,Off,7,Tom11,na,3
Sherman12,Def,5,Michael7,na,8
Vivien3,Off,8,Joeseph9,Def,7
Martin16,Off,6,,,
Score,,1,,,0
,,,,,
Game ID: ,1534,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Frank8,Off,9
Karen13,Def,7,John4,Off,4
Marcus17,Def,4,Jose15,Def,8
Jessica10,Off,7,Tom11,na,3
Sherman12,Def,5,Michael7,na,8
Vivien3,Off,8,Joeseph9,Def,7
Martin16,Off,6,,,
Score,,0,,,0
,,,,,
Game ID: ,1535,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
Tom11,na,3,Danny19,na,9
Max14,Off,5,Vivien3,Off,8
Karen13,Def,7,Michael7,na,8
Ryan18,na,5,Jeffrey1,Off,7
Score,,0,,,4
,,,,,
Game ID: ,1536,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
Tom11,na,3,Danny19,na,9
Max14,Off,5,Vivien3,Off,8
Karen13,Def,7,Michael7,na,8
Ryan18,na,5,Jeffrey1,Off,7
Score,,0,,,4
,,,,,
Game ID: ,1537,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Vivien3,Off,8
Joeseph9,Def,7,Marcus17,Def,4
Frank8,Off,9,Karen13,Def,7
Max14,Off,5,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,1538,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Vivien3,Off,8
Joeseph9,Def,7,Marcus17,Def,4
Frank8,Off,9,Karen13,Def,7
Max14,Off,5,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,1539,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jeffrey1,Off,7
Tom11,na,3,Danny19,na,9
Joeseph9,Def,7,Martin16,Off,6
Ryan18,na,5,Alex2,Off,3
Vivien3,Off,8,Jessica10,Off,7
Jose15,Def,8,Karen13,Def,7
Jonathan5,Def,9,Chris20,Def,3
Michael7,na,8,Sherman12,Def,5
Score,,1,,,0
,,,,,
Game ID: ,1540,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Jeffrey1,Off,7
Tom11,na,3,Danny19,na,9
Joeseph9,Def,7,Martin16,Off,6
Ryan18,na,5,Alex2,Off,3
Vivien3,Off,8,Jessica10,Off,7
Jose15,Def,8,Karen13,Def,7
Jonathan5,Def,9,Chris20,Def,3
Michael7,na,8,Sherman12,Def,5
Score,,3,,,0
,,,,,
Game ID: ,1541,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Frank8,Off,9
Michael7,na,8,Joeseph9,Def,7
Jose15,Def,8,Khoman 6,Def,6
Tom11,na,3,Alex2,Off,3
Jeffrey1,Off,7,Max14,Off,5
Score,,0,,,0
,,,,,
Game ID: ,1542,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Frank8,Off,9
Michael7,na,8,Joeseph9,Def,7
Jose15,Def,8,Khoman 6,Def,6
Tom11,na,3,Alex2,Off,3
Jeffrey1,Off,7,Max14,Off,5
Score,,0,,,0
,,,,,
Game ID: ,1543,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
John4,Off,4,Vivien3,Off,8
Martin16,Off,6,Max14,Off,5
Chris20,Def,3,Michael7,na,8
Frank8,Off,9,Karen13,Def,7
Jose15,Def,8,Ryan18,na,5
Sherman12,Def,5,Jeffrey1,Off,7
Score,,0,,,0
,,,,,
Game ID: ,1544,,,,
player id,position,Rating,player id,position,Rating
Joeseph9,Def,7,Khoman 6,Def,6
John4,Off,4,Vivien3,Off,8
Martin16,Off,6,Max14,Off,5
Chris20,Def,3,Michael7,na,8
Frank8,Off,9,Karen13,Def,7
Jose15,Def,8,Ryan18,na,5
Sherman12,Def,5,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,1545,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jonathan5,Def,9
Jeffrey1,Off,7,Tom11,na,3
Joeseph9,Def,7,Khoman 6,Def,6
Karen13,Def,7,Martin16,Off,6
Frank8,Off,9,,,
Score,,4,,,0
,,,,,
Game ID: ,1546,,,,
player id,position,Rating,player id,position,Rating
Ryan18,na,5,Jonathan5,Def,9
Jeffrey1,Off,7,Tom11,na,3
Joeseph9,Def,7,Khoman 6,Def,6
Karen13,Def,7,Martin16,Off,6
Frank8,Off,9,,,
Score,,4,,,0
,,,,,
Game ID: ,1547,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Marcus17,Def,4,Tom11,na,3
Khoman 6,Def,6,Jonathan5,Def,9
Max14,Off,5,John4,Off,4
Alex2,Off,3,Vivien3,Off,8
Score,,0,,,3
,,,,,
Game ID: ,1548,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Joeseph9,Def,7
Marcus17,Def,4,Tom11,na,3
Khoman 6,Def,6,Jonathan5,Def,9
Max14,Off,5,John4,Off,4
Alex2,Off,3,Vivien3,Off,8
Score,,0,,,3
,,,,,
Game ID: ,1549,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Martin16,Off,6
Sherman12,Def,5,Jonathan5,Def,9
Vivien3,Off,8,Chris20,Def,3
Ryan18,na,5,Jeffrey1,Off,7
Score,,0,,,1
,,,,,
Game ID: ,1550,,,,
player id,position,Rating,player id,position,Rating
Frank8,Off,9,Martin16,Off,6
Sherman12,Def,5,Jonathan5,Def,9
Vivien3,Off,8,Chris20,Def,3
Ryan18,na,5,Jeffrey1,Off,7
Score,,1,,,0
,,,,,
Game ID: ,1551,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,John4,Off,4
Tom11,na,3,Khoman 6,Def,6
Jeffrey1,Off,7,Karen13,Def,7
Vivien3,Off,8,Martin16,Off,6
Sherman12,Def,5,Max14,Off,5
Joeseph9,Def,7,Michael7,na,8
Jessica10,Off,7,Ryan18,na,5
Frank8,Off,9,Danny19,na,9
Score,,2,,,0
,,,,,
Game ID: ,1552,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,John4,Off,4
Tom11,na,3,Khoman 6,Def,6
Jeffrey1,Off,7,Karen13,Def,7
Vivien3,Off,8,Martin16,Off,6
Sherman12,Def,5,Max14,Off,5
Joeseph9,Def,7,Michael7,na,8
Jessica10,Off,7,Ryan18,na,5
Frank8,Off,9,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,1553,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Jessica10,Off,7
Michael7,na,8,Danny19,na,9
Jose15,Def,8,John4,Off,4
Alex2,Off,3,Martin16,Off,6
Max14,Off,5,Jonathan5,Def,9
Vivien3,Off,8,Marcus17,Def,4
Score,,1,,,0
,,,,,
Game ID: ,1554,,,,
player id,position,Rating,player id,position,Rating
Karen13,Def,7,Jessica10,Off,7
Michael7,na,8,Danny19,na,9
Jose15,Def,8,John4,Off,4
Alex2,Off,3,Martin16,Off,6
Max14,Off,5,Jonathan5,Def,9
Vivien3,Off,8,Marcus17,Def,4
Score,,0,,,0
,,,,,
Game ID: ,1555,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Frank8,Off,9
Marcus17,Def,4,Joeseph9,Def,7
Tom11,na,3,Jessica10,Off,7
Chris20,Def,3,John4,Off,4
Martin16,Off,6,Khoman 6,Def,6
Vivien3,Off,8,Max14,Off,5
Danny19,na,9,Jonathan5,Def,9
Jeffrey1,Off,7,,,
Score,,0,,,2
,,,,,
Game ID: ,1556,,,,
player id,position,Rating,player id,position,Rating
Sherman12,Def,5,Frank8,Off,9
Marcus17,Def,4,Joeseph9,Def,7
Tom11,na,3,Jessica10,Off,7
Chris20,Def,3,John4,Off,4
Martin16,Off,6,Khoman 6,Def,6
Vivien3,Off,8,Max14,Off,5
Danny19,na,9,Jonathan5,Def,9
Jeffrey1,Off,7,,,
Score,,0,,,0
,,,,,
Game ID: ,1557,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Khoman 6,Def,6
Jonathan5,Def,9,Ryan18,na,5
Karen13,Def,7,Martin16,Off,6
Vivien3,Off,8,Jose15,Def,8
Frank8,Off,9,John4,Off,4
Max14,Off,5,,,
Score,,7,,,0
,,,,,
Game ID: ,1558,,,,
player id,position,Rating,player id,position,Rating
Michael7,na,8,Khoman 6,Def,6
Jonathan5,Def,9,Ryan18,na,5
Karen13,Def,7,Martin16,Off,6
Vivien3,Off,8,Jose15,Def,8
Frank8,Off,9,John4,Off,4
Max14,Off,5,,,
Score,,6,,,0
,,,,,
Game ID: ,1559,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Alex2,Off,3
Joeseph9,Def,7,Jeffrey1,Off,7
Jonathan5,Def,9,Marcus17,Def,4
Ryan18,na,5,Khoman 6,Def,6
Frank8,Off,9,John4,Off,4
Vivien3,Off,8,,,
Score,,7,,,0
,,,,,
Game ID: ,1560,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Alex2,Off,3
Joeseph9,Def,7,Jeffrey1,Off,7
Jonathan5,Def,9,Marcus17,Def,4
Ryan18,na,5,Khoman 6,Def,6
Frank8,Off,9,John4,Off,4
Vivien3,Off,8,,,
Score,,8,,,0
,,,,,
Game ID: ,1561,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Chris20,Def,3
Michael7,na,8,Ryan18,na,5
Danny19,na,9,Vivien3,Off,8
Karen13,Def,7,John4,Off,4
Score,,5,,,0
,,,,,
Game ID: ,1562,,,,
player id,position,Rating,player id,position,Rating
Martin16,Off,6,Chris20,Def,3
Michael7,na,8,Ryan18,na,5
Danny19,na,9,Vivien3,Off,8
Karen13,Def,7,John4,Off,4
Score,,5,,,0
,,,,,
Game ID: ,1563,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Ryan18,na,5
Jonathan5,Def,9,Danny19,na,9
Joeseph9,Def,7,Jessica10,Off,7
Frank8,Off,9,Chris20,Def,3
Vivien3,Off,8,Michael7,na,8
Sherman12,Def,5,Khoman 6,Def,6
Martin16,Off,6,Max14,Off,5
Marcus17,Def,4,,,
Score,,1,,,0
,,,,,
Game ID: ,1564,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Ryan18,na,5
Jonathan5,Def,9,Danny19,na,9
Joeseph9,Def,7,Jessica10,Off,7
Frank8,Off,9,Chris20,Def,3
Vivien3,Off,8,Michael7,na,8
Sherman12,Def,5,Khoman 6,Def,6
Martin16,Off,6,Max14,Off,5
Marcus17,Def,4,,,
Score,,2,,,0
,,,,,
Game ID: ,1565,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Martin16,Off,6
Ryan18,na,5,Jose15,Def,8
Jessica10,Off,7,Karen13,Def,7
Max14,Off,5,Frank8,Off,9
Joeseph9,Def,7,Alex2,Off,3
Michael7,na,8,Jonathan5,Def,9
Score,,0,,,1
,,,,,
Game ID: ,1566,,,,
player id,position,Rating,player id,position,Rating
Danny19,na,9,Martin16,Off,6
Ryan18,na,5,Jose15,Def,8
Jessica10,Off,7,Karen13,Def,7
Max14,Off,5,Frank8,Off,9
Joeseph9,Def,7,Alex2,Off,3
Michael7,na,8,Jonathan5,Def,9
Score,,0,,,0
,,,,,
Game ID: ,1567,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Khoman 6,Def,6
Joeseph9,Def,7,Tom11,na,3
Chris20,Def,3,Jeffrey1,Off,7
Frank8,Off,9,Max14,Off,5
Jose15,Def,8,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,1568,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Khoman 6,Def,6
Joeseph9,Def,7,Tom11,na,3
Chris20,Def,3,Jeffrey1,Off,7
Frank8,Off,9,Max14,Off,5
Jose15,Def,8,Danny19,na,9
Score,,0,,,0
,,,,,
Game ID: ,1569,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Jeffrey1,Off,7
Joeseph9,Def,7,Alex2,Off,3
Danny19,na,9,Karen13,Def,7
Marcus17,Def,4,Jose15,Def,8
Michael7,na,8,Chris20,Def,3
Max14,Off,5,Vivien3,Off,8
Ryan18,na,5,,,
Score,,3,,,0
,,,,,
Game ID: ,1570,,,,
player id,position,Rating,player id,position,Rating
John4,Off,4,Jeffrey1,Off,7
Joeseph9,Def,7,Alex2,Off,3
Danny19,na,9,Karen13,Def,7
Marcus17,Def,4,Jose15,Def,8
Michael7,na,8,Chris20,Def,3
Max14,Off,5,Vivien3,Off,8
Ryan18,na,5,,,
Score,,1,,,0
,,,,,
Game ID: ,1571,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Tom11,na,3
Marcus17,Def,4,Jose15,Def,8
Frank8,Off,9,Joeseph9,Def,7
Ryan18,na,5,Jeffrey1,Off,7
Score,,0,,,4
,,,,,
Game ID: ,1572,,,,
player id,position,Rating,player id,position,Rating
Chris20,Def,3,Tom11,na,3
Marcus17,Def,4,Jose15,Def,8
Frank8,Off,9,Joeseph9,Def,7
Ryan18,na,5,Jeffrey1,Off,7
Score,,0,,,2
,,,,,
Game ID: ,1573,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Jeffrey1,Off,7
Alex2,Off,3,Marcus17,Def,4
Jessica10,Off,7,Chris20,Def,3
Jonathan5,Def,9,Jose15,Def,8
Tom11,na,3,Frank8,Off,9
John4,Off,4,Michael7,na,8
Score,,0,,,3
,,,,,
Game ID: ,1574,,,,
player id,position,Rating,player id,position,Rating
Khoman 6,Def,6,Jeffrey1,Off,7
Alex2,Off,3,Marcus17,Def,4
Jessica10,Off,7,Chris20,Def,3
Jonathan5,Def,9,Jose15,Def,8
Tom11,na,3,Frank8,Off,9
John4,Off,4,Michael7,na,8
Score,,0,,,2
,,,,,
Game ID: ,1575,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Jose15,Def,8
Joeseph9,Def,7,Michael7,na,8
John4,Off,4,Frank8,Off,9
Jonathan5,Def,9,Vivien3,Off,8
Martin16,Off,6,Max14,Off,5
Tom11,na,3,Chris20,Def,3
Sherman12,Def,5,Danny19,na,9
Jeffrey1,Off,7,Marcus17,Def,4
Score,,0,,,2
,,,,,
Game ID: ,1576,,,,
player id,position,Rating,player id,position,Rating
Jessica10,Off,7,Jose15,Def,8
Joeseph9,Def,7,Michael7,na,8
John4,Off,4,Frank8,Off,9
Jonathan5,Def,9,Vivien3,Off,8
Martin16,Off,6,Max14,Off,5
Tom11,na,3,Chris20,Def,3
Sherman12,Def,5,Danny19,na,9
Jeffrey1,Off,7,Marcus17,Def,4
Score,,0,,,2
,,,,,
Game ID: ,1577,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Khoman 6,Def,6
Marcus17,Def,4,Ryan18,na,5
Martin16,Off,6,Jeffrey1,Off,7
Jonathan5,Def,9,Jose15,Def,8
Score,,0,,,1
,,,,,
Game ID: ,1578,,,,
player id,position,Rating,player id,position,Rating
Alex2,Off,3,Khoman 6,Def,6
Marcus17,Def,4,Ryan18,na,5
Martin16,Off,6,Jeffrey1,Off,7
Jonathan5,Def,9,Jose15,Def,8
Score,,0,,,2
,,,,,
Game ID: ,1579,,,,
player id,position,Rating,player id,position,Rating
Marcus17,Def,4,Alex2,Off,3
Jose15,Def,8,Max14,Off,5
Frank8,Off,9,Jonathan5,Def,9
Tom11,na,3,Sherman12,Def,5
Score,,0,,,0
,,,,,
Game ID: ,1580,,,,
player id,position,Rating,player id,position,Rating
